Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2024-02-21;186377853;189907737;12451000000;-10212000000;2239000000;-853000000;-204000000;-32000000;-617000000;1386000000;12000000;-106000000;1398000000;-696000000;702000000;-664000000;38000000;;-123000000;-123000000
AA;367153;USD;2023;FY;2023-12-31;2024-02-21;2024-02-21;178000000;178000000;10551000000;-9813000000;738000000;-897000000;-226000000;-39000000;-632000000;-159000000;-241000000;-107000000;-400000000;-184000000;-584000000;-189000000;-773000000;;-651000000;-651000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;;;;-6461616;-6461616;;;-6461616;284779;;-6176837;22025909;15849072;;15849072;;15849072;15849072
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;;;;-7342712;-7342712;;;-7342712;13097713;;5755001;15228589;20983590;;20983590;;20983590;20983590
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;;;;-184105;-184105;;;-184105;1052;1052;-183053;;-183053;;-183053;-285846;-468899;-468899
AAGH;12444287;USD;2019;FY;2019-06-30;2021-03-23;2021-07-13;20236021836;20236021836;;;;-46771;-46768;;;-46771;-4494;-4494;-51265;-12978;-64243;-800;-65043;;-65043;-65043
AAGH;12444287;USD;2020;FY;2020-06-30;2020-10-12;2022-01-21;20236021836;20236021836;5474;-3369;2105;-48256;-48181;;;-46151;-4965;-4965;-51116;;-51116;-800;-51916;;-51916;-51916
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;195671;-144318;51353;-294913;-294913;;;-243560;-20044;-20044;-263604;-5450;-269054;;-269054;;-269054;-269054
AAGH;12444287;USD;2022;FY;2022-06-30;2022-10-31;2023-10-13;21090049276;21090049276;104648;-1588453;-1483805;-3250293;-3250293;;;-4734098;-190838;-190911;-4924936;;-4924936;;-4924936;;-4866153;-4866153
AAGH;12444287;USD;2023;FY;2023-06-30;2023-10-13;2023-10-13;21090938148;21090938148;204308;-35720;168588;-661232;-661232;;;-492644;-284696;-319679;-777340;;-777340;;-777340;;-761420;-761420
AAIC;9076064;USD;2019;FY;2019-12-31;2020-02-24;2021-02-26;35709000;35833000;123478000;;;-14325000;-4821000;;;109153000;-97250000;-5050000;11903000;1839000;13742000;;13742000;;13742000;11142000
AAIC;9076064;USD;2020;FY;2020-12-31;2021-02-26;2022-03-10;35343000;35343000;46014000;;;-12615000;-5374000;;;33399000;-22916000;-22916000;10483000;-78199000;-67716000;;-67716000;;-67716000;-70707000
AAIC;9076064;USD;2021;FY;2021-12-31;2022-03-10;2023-03-31;32312000;32312000;25789000;;;-11704000;-11704000;;;14085000;-8835000;-8835000;5250000;-13199000;-7949000;-1566000;-9515000;;-9515000;-12431000
AAIC;9076064;USD;2022;FY;2022-12-31;2023-03-31;2023-03-31;28717000;29243000;49456000;;;-14915000;-14915000;;;34541000;-27584000;-27584000;6957000;2587000;9544000;-4118000;5426000;;5426000;2642000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;45768000000;-32654000000;13114000000;-10049000000;-2004000000;;-1982000000;3065000000;-809000000;-968000000;2256000000;;2256000000;-570000000;1686000000;;1686000000;1686000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2023-02-22;483888000;483888000;17337000000;-22523000000;-5186000000;-5235000000;-666000000;;-2040000000;-10421000000;-1032000000;-1186000000;-11453000000;;-11453000000;2568000000;-8885000000;;-8885000000;-8885000000
AAL;68568;USD;2021;FY;2021-12-31;2022-02-22;2024-02-21;648766000;648766000;29882000000;-27836000000;2046000000;-7111000000;-1098000000;;-2019000000;-5065000000;-1489000000;-1782000000;-6554000000;4006000000;-2548000000;555000000;-1993000000;;-1993000000;-1993000000
AAL;68568;USD;2022;FY;2022-12-31;2023-02-22;2024-02-21;650345000;655122000;48971000000;-37957000000;11014000000;-9214000000;-1815000000;;-1977000000;1800000000;-1421000000;-1746000000;379000000;-193000000;186000000;-59000000;127000000;;127000000;127000000
AAL;68568;USD;2023;FY;2023-12-31;2024-02-21;2024-02-21;653612000;719669000;52788000000;-39042000000;13746000000;-9741000000;-1799000000;;-1936000000;4005000000;-1913000000;-1554000000;2092000000;-971000000;1121000000;-299000000;822000000;;822000000;822000000
AAMC;847094;USD;2019;FY;2019-12-31;2020-02-28;2021-03-03;2702918;2702918;15733196;-16989201;-1269654;-7769360;-7776867;;;-9030087;6753000;;-2274240;;-10392000;-337973;-2616343;7944000;-2613000;-2819000
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;2773254;2773254;;-11977000;-11977000;-8533000;-8532704;;;-20510000;6559000;;-13951000;;-13951000;-769000;-14720000;54541000;39821000;39779000
AAMC;847094;USD;2021;FY;2021-12-31;2022-03-31;2023-03-27;2773254;2773254;;-5635000;-5635000;-10989000;-11057825;;;-16624000;3095000;-60000;-8955317;4585000;-8944000;-3273000;75641461;6213000;81892076;81899032
AAMC;847094;USD;2022;FY;2022-12-31;2023-03-27;2024-03-29;3259755;3259755;562302;;;-16777000;-9361738;;-122000;-11812000;-1296000;-1328000;-15553234;-2476000;-15584000;-350000;-10826756;;-10830076;-10814235
AAMC;847094;USD;2023;FY;2023-12-31;2024-03-29;2024-03-29;2925744;2925744;-17322891;;;-18562000;-9047319;;-721000;-13181000;-2751000;-2793000;-32017540;-16041000;-31973000;-573000;-32546000;;-32546000;-32546000
AAN;441241;USD;2019;FY;2019-12-31;2020-02-20;2022-02-24;67322000;68631000;1784477000;-672461000;1112016000;-926767000;-499993000;;;185249000;-13086000;-16967000;34304771;-137893000;34270000;-6171000;28099000;;28099000;28099000
